full_name,pos,stub,year,game_date,game_num,week_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,top_n,reason,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,pass_defended,offense,off_pct,defense,def_pct,special_teams,st_pct,punt,punt_yds,punt_yds_per_punt,punt_blocked,xpm,xpa,xp_perc,fgm,fga,fg_perc,safety_md,unique_id
Terrell Fletcher,RB,/players/F/FletTe00.htm,,111 Games,,,,,,,44-67-0,,526,1871,3.56,10,365,259,1943,7.50,3,71.0%,5.32,1,1,100.00,23,1,0,158.3,0,0,23.00,43.00,16,281,17.56,0,,13,78,12,7,0,0,0,0,False,,0.0,8,0,8,0,,3,12,4.00,0,,,,,,,,,,,,,,,,,,,,,,"Terrell Fletcher,,RB,"
Shawn Jefferson,WR,/players/J/JeffSh00.htm,,195 Games,,,,,,,102-92-1,,15,146,9.73,0,865,470,7023,14.94,29,,8.12,,,,,,,,,,,,,,,,1,29,176,5,2,0,0,0,0,False,,0.0,3,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shawn Jefferson,,WR,"
Priest Holmes,RB,/players/H/HolmPr00.htm,,113 Games,,,,,,,61-51-1,,1780,8172,4.59,86,438,339,2962,8.74,8,77.4%,6.76,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,4,51,12.75,0,1,94,566,16,11,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Priest Holmes,,RB,"
Peerless Price,WR,/players/P/PricPe00.htm,,123 Games,,,,,,,58-65-0,,23,173,7.52,0,780,403,5281,13.10,31,51.7%,6.77,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,1,27,27.00,0,,31,186,9,5,0,1,0,0,False,,,,,,,,37,216,5.84,0,,,,,,,,,,,,,,,,,,,,,,"Peerless Price,,WR,"
Trent Dilfer,QB,/players/D/DilfTr00.htm,,130 Games,,,,,,,65-65-0,,248,853,3.44,5,2,2,-6,-3.00,0,100.0%,-3.00,1759,3172,55.45,20518,113,129,70.2,263,1730,6.47,5.35,,,,,,5,30,76,31,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trent Dilfer,,QB,"
Larry Centers,RB,/players/C/CentLa00.htm,,198 Games,,,,,,,81-117-0,,615,2188,3.56,14,1045,827,6797,8.22,28,,6.50,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,33,617,18.70,0,,42,252,13,6,0,0,0,0,False,,0.0,9,3,12,0,,5,30,6.00,0,,,,,,,,,,,,,,,,,,,,,,"Larry Centers,,RB,"
Tony Banks,QB,/players/B/BankTo00.htm,,96 Games,,,,,,,42-54-0,,246,881,3.58,6,,,,,,,,1278,2356,54.24,15315,77,73,72.4,227,1432,6.50,5.76,,,,,2,6,40,68,29,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tony Banks,,QB,"
Bobby Shaw,WR,/players/S/ShawBo00.htm,,90 Games,,,,,,,45-45-0,,1,1,1.00,0,329,197,2784,14.13,14,59.9%,8.46,,,,,,,,,,,,4,47,11.75,0,,15,90,5,3,0,1,0,0,False,,0.0,2,1,3,0,,35,425,12.14,1,,,,,,,,,,,,,,,,,,,,,,"Bobby Shaw,,WR,"
Irving Fryar,WR,/players/F/FryaIr00.htm,,255 Games,,,,,,,119-135-1,,44,242,5.50,1,998,851,12785,15.02,84,,12.81,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,27,505,18.70,0,2,88,532,1,0,0,0,0,0,False,,,,,,,,206,2055,9.98,3,,,,,,,,,,,,,,,,,,,,,,"Irving Fryar,,WR,"
Willie Jackson,WR,/players/J/JackWi00.htm,,112 Games,,,,,,,52-60-0,,4,16,4.00,0,515,284,3641,12.82,24,55.1%,7.07,,,,,,,,,,,,67,1432,21.37,0,6,24,156,8,5,0,2,0,0,False,,,,,,,,3,4,1.33,0,,,,,,,,,,,,,,,,,,,,,,"Willie Jackson,,WR,"
